index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
153,7,adrian_pilot,3,TrialDigitSpan,0,0,2856.611117,2863.015224,2865.090891,14.804524,2.075667,1,1,8
154,8,adrian_pilot,3,TrialDigitSpan,2,2,2870.593127,2877.008636,2878.811807,13.98201,1.803171,1,0,8
155,9,adrian_pilot,3,TrialDigitSpan,0,0,2884.243964,2890.654557,2892.072291,13.650837,1.417734,1,0,8
156,10,adrian_pilot,3,TrialDigitSpan,2,2,2897.598402,2904.012591,2905.307419,13.354438,1.294828,1,0,8
157,11,adrian_pilot,3,TrialDigitSpan,1,1,2910.057254,2916.449656,2918.187602,12.458852,1.737946,1,0,8
158,12,adrian_pilot,3,TrialDigitSpan,0,0,2923.784016,2930.216353,2932.137302,13.726762,1.920949,1,0,8
159,13,adrian_pilot,3,TrialDigitSpan,1,1,2937.43208,2943.832731,2945.865351,13.648064,2.03262,1,0,8
160,14,adrian_pilot,3,TrialDigitSpan,2,2,2951.33209,2957.718319,2959.597327,13.90001,1.879008,1,0,8
161,15,adrian_pilot,3,TrialDigitSpan,1,1,2965.651503,2972.118465,2973.772115,14.319413,1.65365,1,0,8
162,16,adrian_pilot,3,TrialDigitSpan,1,1,3089.147502,3095.528247,3097.237051,12.428037,1.708804,1,1,9
163,17,adrian_pilot,3,TrialDigitSpan,1,1,3102.821846,3109.262106,3110.62596,13.674344,1.363854,1,0,9
164,18,adrian_pilot,3,TrialDigitSpan,2,2,3116.047517,3122.45813,3123.991508,13.225671,1.533378,1,0,9
165,19,adrian_pilot,3,TrialDigitSpan,2,2,3129.239197,3135.664509,3136.985463,13.19168,1.320954,1,0,9
166,20,adrian_pilot,3,TrialDigitSpan,2,2,3142.341621,3148.734089,3149.871053,13.102424,1.136964,1,0,9
167,21,adrian_pilot,3,TrialDigitSpan,1,1,3154.592484,3160.980195,3162.079467,12.250863,1.099272,1,0,9
168,22,adrian_pilot,3,TrialDigitSpan,1,1,3167.478246,3173.866241,3174.729834,12.885762,0.863593,1,0,9
169,0,adrian_pilot,3,TrialSpatialRotation,0,-1,2384.701152,2391.170886,-1,13.556046,3,0,1,6
170,1,adrian_pilot,3,TrialSpatialRotation,0,0,2394.602758,2401.077295,2402.985013,9.901606,1.907718,1,0,6
171,2,adrian_pilot,3,TrialSpatialRotation,0,0,2408.261652,2414.729379,2416.220817,13.658894,1.491438,1,0,6
172,3,adrian_pilot,3,TrialSpatialRotation,1,1,2421.63975,2428.12441,2429.718522,13.378098,1.594112,1,0,6
173,4,adrian_pilot,3,TrialSpatialRotation,1,1,2435.500793,2441.972365,2443.892534,13.861043,1.920169,1,0,6
174,5,adrian_pilot,3,TrialSpatialRotation,2,2,2449.189842,2455.663635,2457.762237,13.689049,2.098602,1,0,6
